guid,target extension,excluded extension
56a863a9-875e-4185-98a7-b882c64b5ce5,,
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,,
e6db77e5-3df2-4cf1-b95a-636979351e5b,,.ps1
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,,
d4f940ab-401b-4efc-aadc-ad5f3c50688a,,
be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,.7z; .bat; .cab; .cmd; .com; .cpl; .dll; .exe; .hta; .jar; .js; .jse; .lnk; .ocx; .pif; .ps1; .rar; .scr; .vbe; .vbs; .wsc; .wsf; .wsh; .zip,.dll; .exe; .js
01443614-cd74-433a-b99e-2ecdc07bfc25,,
5beb7efe-fd9a-4556-801d-275e5ffc04cc,.js; .ps1; .vbs; .wsf,.cdxml; .cs; .go; .java; .lua; .ps1; .ps1xml; .psd1; .psm1; .psrc; .pssc; .testpasses
d3e037e1-3eb8-44c8-a917-57927947596d,,
3b576869-a4ec-4529-8536-b80a7769e899,.appcontent-ms; .application; .bat; .cmd; .com; .dll; .exe; .hta; .jar; .js; .jse; .lnk; .ocx; .pif; .ps1; .psc1; .scr; .settingcontent-ms; .sys; .vbe; .vbs; .wsc; .wsf; .wsh; .xll,.accdb; .application; .com; .dll; .doc; .docm; .docx; .exe; .js; .lnk; .ppt; .pptx; .xls; .xlsm; .xlsx
75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84,,
26190899-1602-49e8-8b27-eb1d0a1ce869,,
d1e49aac-8f56-4280-b9ba-993a6d77406c,.exe,
33ddedf1-c6e0-47cb-833e-de6133960387,,
b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4,.bat; .cmd; .exe; .js; .msi; .ps1; .vbs,
c0033c00-d16d-4114-a5a0-dc9b3a7d2ceb,.exe,.tmp
a8f5898e-1dc8-49a9-9878-85004b8a61e6,.ashx; .asp; .aspx,
92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b,.doc; .xls,.zip
c1db55ab-c21a-4637-bb3f-a12568109d35,.exe,
