guid,exclusion folder
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,\microsoft intune management extension\
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,\microsoft\windows defender advanced threat protection\
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,\program files
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,\windows\ccm\signedscripts\
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,\windows\ccm\systemtemp\
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,\windows\ccmcache\
d4f940ab-401b-4efc-aadc-ad5f3c50688a,\program files (x86)\microsoft office\
d4f940ab-401b-4efc-aadc-ad5f3c50688a,\program files (x86)\windowsapps\microsoft.office.desktop.excel
d4f940ab-401b-4efc-aadc-ad5f3c50688a,\program files\microsoft office\
d4f940ab-401b-4efc-aadc-ad5f3c50688a,\program files\windowsapps\microsoft.office.desktop.excel
be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,appdata\local\imanage\work\chromium\
be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,appdata\local\imanage\work\dll\
be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,appdata\local\imanage\work\plug_ins\
be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,appdata\roaming\imanage\work\chromium\
be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,appdata\roaming\imanage\work\dll\
be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,appdata\roaming\imanage\work\plug_ins\
01443614-cd74-433a-b99e-2ecdc07bfc25,\adminarsenal\
01443614-cd74-433a-b99e-2ecdc07bfc25,\temp\kav remote installations\
01443614-cd74-433a-b99e-2ecdc07bfc25,^.:\program files\safebreach\safebreach endpoint simulator\app\
01443614-cd74-433a-b99e-2ecdc07bfc25,^.:\windows\
01443614-cd74-433a-b99e-2ecdc07bfc25,advanced threat protection\datacollection\
5beb7efe-fd9a-4556-801d-275e5ffc04cc,\appdata\roaming\microsoft\office\16.0\[^\]+\proofing\
5beb7efe-fd9a-4556-801d-275e5ffc04cc,\program files[^\]*\microsoft office\root\office%d+\
5beb7efe-fd9a-4556-801d-275e5ffc04cc,\tanium\tanium client\tools\endusernotifications\
5beb7efe-fd9a-4556-801d-275e5ffc04cc,\tanium\tanium client\tools\enforce\
5beb7efe-fd9a-4556-801d-275e5ffc04cc,\windowspowershell\v1.0\modules\
3b576869-a4ec-4529-8536-b80a7769e899,:\users\local_.*\temp\deployment\%w%w%w%w%w%w%w%w%.%w%w%w
3b576869-a4ec-4529-8536-b80a7769e899,\device\harddiskvolume%d+\users\[^\]+\appdata\roaming\microsoft\office\
3b576869-a4ec-4529-8536-b80a7769e899,%commonprogramfiles(x86)%\microsoft shared\
3b576869-a4ec-4529-8536-b80a7769e899,%commonprogramfiles%\microsoft shared\
3b576869-a4ec-4529-8536-b80a7769e899,%programfiles(x86)%\microsoft azure information protection\
3b576869-a4ec-4529-8536-b80a7769e899,%programfiles(x86)%\microsoft office\
3b576869-a4ec-4529-8536-b80a7769e899,%programfiles%\microsoft azure information protection\
3b576869-a4ec-4529-8536-b80a7769e899,%programfiles%\microsoft office\
3b576869-a4ec-4529-8536-b80a7769e899,%systemdrive%\appsensevirtual\
3b576869-a4ec-4529-8536-b80a7769e899,%systemdrive%\gendox\teams\common\bin
3b576869-a4ec-4529-8536-b80a7769e899,%systemroot%\assembly\
3b576869-a4ec-4529-8536-b80a7769e899,%systemroot%\syswow64\config\systemprofile\appdata\roaming\microsoft\office\
3b576869-a4ec-4529-8536-b80a7769e899,%userprofile%\appdata\local\temp\deployment\%w%w%w%w%w%w%w%w%.%w%w%w$
3b576869-a4ec-4529-8536-b80a7769e899,<KNOWN_FOLDER:352481E8-33BE-4251-BA85-6007CAEDCF9D>\ie
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local [AND directory also matches \apps\%d%.%d\%w%w%w%w%w%w%w%w%.%w%w%w\%w%w%w%w%w%w%w%w%.%w%w%w\]
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\assembly\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\assembly\tmp\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\invincea\enterprise\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\low\sogoupy
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\microsoft\appv\client\vfs\[a-f0-9]+-[a-f0-9]+-[a-f0-9]+-[a-f0-9]+-[a-f0-9]+\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\microsoft\office\[%d%.]+\smartlookupcache\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\microsoft\office\[%d%.]+\wef\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\microsoft\windows\inetcache\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\microsoft\windows\inetcache\ie\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\microsoft\windows\inetcache1\temporary internet files\ie\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\microsoft\windows\temporary internet files\content.ie5\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\mssolvehelper databroker\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\packages\microsoft.office.desktop_8wekyb3d8bbwe\ac\inetcache\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\packages\microsoft.office.desktop_8wekyb3d8bbwe\localcache\roaming\microsoft\internet explorer\quick launch
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\packages\microsoft.office.desktop_8wekyb3d8bbwe\localcache\roaming\microsoft\office\recent
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\packages\microsoft.office.desktop_8wekyb3d8bbwe\localcache\roaming\microsoft\windows\start menu\programs\startup
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\temp\%d+\deployment\%w%w%w%w%w%w%w%w%.%w%w%w
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\temp\deployment\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\temp\deployment\%w%w%w%w%w%w%w%w%.%w%w%w
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\temp\microsoft\team foundation\[^\]+\cache\avatars\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\temp\officemix.setup.
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\temp\onenotesyncdata
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\local\temp\onenotesyncdata\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\locallow\sogoupy
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\microsoft\excel\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\microsoft\internet explorer\quick launch
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\microsoft\office\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\microsoft\olk\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\microsoft\onenote\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\microsoft\outlook\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\microsoft\powerpoint\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\microsoft\windows\start menu\programs\startup
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\microsoft\word\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\onetastic
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\appdata\roaming\refinitiv\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\documents\my data sources
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\inetcache\ie\
3b576869-a4ec-4529-8536-b80a7769e899,<USERPROFILE_PARENT>\[^\]+\onedrive\documents\my data sources
26190899-1602-49e8-8b27-eb1d0a1ce869,%programfiles%[^\]*\7%-zip\
26190899-1602-49e8-8b27-eb1d0a1ce869,%programfiles%[^\]*\adobe\
26190899-1602-49e8-8b27-eb1d0a1ce869,%programfiles%[^\]*\google\
26190899-1602-49e8-8b27-eb1d0a1ce869,%programfiles%[^\]*\microsoft office\
